noise_percentage,confidence_factor,size_of_the_tree
04.150,0.325,393
04.150,0.350,473
04.150,0.375,521
04.150,0.3,375
04.150,0.425,547
04.150,0.45,569
04.150,0.475,596
04.150,0.4,541
04.150,0.5,596
04.200,0.025,1
04.200,0.05,34
04.200,0.075,34
04.200,0.125,34
04.200,0.150,34
04.200,0.175,41
04.200,0.1,34
04.200,0.225,48
04.200,0.25,128
04.200,0.275,97
04.200,0.2,45
04.200,0.325,364
04.200,0.350,413
04.200,0.375,489
04.200,0.3,359
04.200,0.425,503
04.200,0.45,559
04.200,0.475,569
04.200,0.4,502
04.200,0.5,576
04.250,0.025,1
04.250,0.05,32
04.250,0.075,48
04.250,0.125,48
04.250,0.150,48
04.250,0.175,48
04.250,0.1,48
04.250,0.225,107
04.250,0.25,111
04.250,0.275,235
04.250,0.2,114
04.250,0.325,433
04.250,0.350,457
04.250,0.375,523
04.250,0.3,248
04.250,0.425,554
04.250,0.45,554
04.250,0.475,554
04.250,0.4,539
04.250,0.5,554
04.300,0.025,1
04.300,0.05,40
04.300,0.075,40
04.300,0.125,40
04.300,0.150,40
04.300,0.175,40
04.300,0.1,40
04.300,0.225,48
04.300,0.25,168
04.300,0.275,181
04.300,0.2,48
04.300,0.325,423
04.300,0.350,466
04.300,0.375,532
04.300,0.3,314
04.300,0.425,573
04.300,0.45,589
04.300,0.475,589
04.300,0.4,532
04.300,0.5,610
04.350,0.025,1
04.350,0.05,39
04.350,0.075,42
04.350,0.125,42
04.350,0.150,45
04.350,0.175,45
04.350,0.1,42
04.350,0.225,90
04.350,0.25,98
04.350,0.275,289
04.350,0.2,45
04.350,0.325,343
04.350,0.350,431
04.350,0.375,467
04.350,0.3,325
04.350,0.425,568
04.350,0.45,584
04.350,0.475,596
04.350,0.4,516
04.350,0.5,596
04.400,0.025,1
04.400,0.05,38
04.400,0.075,38
04.400,0.125,38
04.400,0.150,41
04.400,0.175,41
04.400,0.1,38
04.400,0.225,118
04.400,0.25,121
04.400,0.275,204
04.400,0.2,118
04.400,0.325,354
04.400,0.350,419
04.400,0.375,441
04.400,0.3,351
04.400,0.425,461
04.400,0.45,480
04.400,0.475,543
04.400,0.4,452
04.400,0.5,543
04.450,0.025,1
04.450,0.05,38
04.450,0.075,38
